customer_id,plan_type,tenure_months,monthly_spend,monthly_usage_gb,call_minutes,message_count,days_since_last_payment,complaints_count,is_churned
CUS0004171,standard,64,38.05,2.42,780,47,3,2,0
CUS0004605,basic,29,28.21,7.45,848,161,21,0,0
CUS0007587,premium,57,74.65,0.59,949,206,17,0,0
CUS0007769,basic,26,13.73,8.44,720,267,35,0,1
CUS0004385,standard,22,41.13,18.39,895,130,10,1,0
CUS0007333,basic,54,18.05,14.25,6,79,14,3,0
CUS0005061,basic,29,28.22,15.17,636,131,40,1,0
CUS0002565,basic,63,15.72,9.31,762,40,52,1,0
CUS0002908,standard,64,44.66,7.16,713,100,31,2,0
CUS0006629,standard,40,42.7,0.0,743,62,41,0,1
CUS0006787,basic,25,24.78,0.0,782,248,26,2,1
CUS0002724,basic,52,21.13,4.73,837,294,5,0,0
CUS0007002, basic,67,28.47,5.96,993,111,67,0,0
CUS0002755,standard,2,65.16,11.34,665,120,7,7,1
CUS0007196,basic,7,15.37,0.0,264,237,29,0,0
CUS0002344,basic,55,20.98,21.36,834,292,21,1,0
CUS0000983,basic,13,22.68,12.2,503,216,17,0,1
CUS0003666,basic,48,21.19,7.36,984,217,18,2,0
CUS0006160,basic,35,11.0,9.55,637,22,61,1,1
CUS0005042,standard,9,35.5,6.08,543,20,33,3,0
CUS0003882,basic,68,26.85,11.64,217,36,13,0,0
CUS0005854,standard,18,35.57,9.64,944,290,14,0,0
CUS0002782,basic,3,16.84,2.21,451,16,25,3,0
CUS0000673,basic,19,19.89,1.13,945,73,17,1,0
CUS0005697,basic,37,20.13,2.44,256,119,22,0,0
CUS0005228,basic,-3,25.01,13.99,14,180,23,0,1
CUS0000420,basic,22,23.72,5.9,844,147,16,2,0
CUS0002186,basic,60,13.63,3.83,637,64,8,3,1
CUS0000324,basic,4,14.28,16.88,434,20,17,1,0
CUS0001339,standard,44,40.75,7.1,238,125,36,2,1
CUS0002103,premium,68,118.7,9.29,851,100,39,0,0
CUS0007277,basic,68,25.53,9.17,360,132,37,0,0
CUS0000840,basic,12,15.47,3.73,753,206,37,0,1
CUS0001842,Standard,33,50.62,1.36,719,193,11,5,0
CUS0007938,basic,32,29.88,4.65,24,288,27,1,0
CUS0003571,basic,60,24.51,17.37,463,111,28,2,0
CUS0000691,basic,45,29.44,12.04,331,119,11,7,1
CUS0003287,premium,57,82.5,6.21,592,280,55,0,1
CUS0007579,basic,48,20.16,12.24,106,97,20,3,0
CUS0002164,basic,68,12.09,14.06,74,98,35,0,0
CUS0007022,standard,36,53.87,8.75,119,34,53,2,0
CUS0000448,standard,33,54.55,7.03,125,45,17,3,1
CUS0003152,standard,20,32.97,3.33,851,214,50,0,0
CUS0007981,basic,70,12.43,10.06,410,123,32,1,0
CUS0001040,basic,2,29.52,6.51,992,44,32,0,0
CUS0005381,basic,58,25.75,,29,101,20,1,0
CUS0004523,premium,49,90.44,5.01,767,252,66,1,0
CUS0000503,premium,29,83.72,7.59,595,21,10,1,0
CUS0006871,premium,9,71.29,12.28,414,221,68,0,0
CUS0006655,basic,13,12.36,8.51,726,142,32,1,0
CUS0005544,premium,72,83.77,1.92,325,123,70,2,0
CUS0003658,basic,23,19.59,4.94,942,62,8,1,0
CUS0004909, premium,18,101.84,,401,248,34,0,0
CUS0007528,standard,52,69.54,0.39,136,296,20,2,0
CUS0002462,premium,41,89.53,5.19,855,89,15,0,0
CUS0000387,basic,37,,0.0,533,273,8,1,0
CUS0007193,basic,25,17.27,10.78,997,107,5,5,0
CUS0002187,basic,45,11.11,0.0,728,14,2,1,0
CUS0001286,basic,60,21.56,0.0,305,89,31,3,1
CUS0002478,basic,38,11.31,0.71,319,62,10,1,0
CUS0001378,basic,31,10.59,15.42,111,184,0,0,0
CUS0007492,basic,70,29.87,8.78,167,84,4,0,0
CUS0004118,premium,8,66.77,8.66,430,260,26,0,1
CUS0007392,standard,5,33.69,5.09,709,62,1,1,0
CUS0005906,premium,4,79.99,15.97,120,93,50,0,0
CUS0003928,basic,36,27.14,4.72,8,253,40,3,0
CUS0002934,basic,40,18.92,17.97,933,242,18,0,0
CUS0002449,basic,34,22.07,0.0,44,199,40,4,1
CUS0000255,basic,16,16.14,5.71,552,265,21,2,0
CUS0000087,basic,22,12.38,12.98,228,113,35,5,0
CUS0005804,basic,64,27.12,3.73,474,246,13,0,1
CUS0005414,basic,24,14.49,5.25,18,55,15,0,0
CUS0004130,basic,26,23.01,0.0,20,294,58,0,0
CUS0003660,premium,38,118.34,15.7,909,242,40,1,0
CUS0007382,basic,35,10.3,10.95,880,293,6,5,0
CUS0002619,basic,6,20.37,2.75,434,177,5,0,0
CUS0007720,premium,41,82.69,10.53,641,233,38,3,1
CUS0002739,basic,61,14.12,3.07,299,98,17,3,0
CUS0006088,STANDARD,49,45.73,6.29,282,273,8,0,0
CUS0003536,standard,62,63.36,14.2,401,294,18,1,0
CUS0002808,basic,1,26.64,5.85,386,227,40,1,1
CUS0005211,basic,72,12.32,,291,143,28,0,0
CUS0007353,standard,29,44.19,7.0,796,295,35,1,0
CUS0000274,basic,7,26.66,6.29,869,21,25,0,1
CUS0001767,basic,57,22.08,16.91,268,268,6,0,0
CUS0007905,basic,5,20.43,4.69,17,198,42,1,0
CUS0000853,basic,17,13.4,2.18,715,53,1,0,0
CUS0003678,Basic,14,,3.5,440,187,22,1,1
CUS0004951,basic,63,14.84,0.0,288,154,17,0,1
CUS0003025, premium,3,99.33,10.22,713,110,16,2,1
CUS0006062,standard,14,45.5,0.61,177,74,4,3,0
CUS0007218,standard,59,39.07,5.03,481,294,12,1,0
CUS0003206,STANDARD,28,36.18,12.34,919,217,15,3,0
CUS0000973,premium,57,69.1,7.12,241,139,30,1,0
CUS0004387,standard,60,30.46,5.47,525,87,39,1,0
CUS0001721,basic,24,29.71,11.0,700,264,45,1,0
CUS0003735,premium,53,89.97,9.86,727,122,31,2,0
CUS0006869,basic,68,18.35,16.74,4,292,10,0,0
CUS0006893,standard,25,34.1,2.49,343,181,34,0,0
CUS0002121,standard,51,61.23,2.51,929,195,26,2,0
CUS0006816,basic,52,29.73,6.4,88,168,24,0,0
CUS0002904,basic,23,15.71,4.9,375,187,46,0,0
CUS0002802,standard,13,51.5,10.25,268,169,18,8,1
CUS0006387,basic,33,21.45,10.47,294,25,65,0,0
CUS0000834,basic,10,19.81,10.68,721,156,75,4,0
CUS0000309,standard,54,31.12,,461,108,45,1,0
CUS0003586,basic,4,11.15,24.43,730,245,8,0,0
CUS0001871,standard,12,57.79,4.67,194,292,36,0,1
CUS0003825,basic,7,23.03,0.0,793,293,14,3,1
CUS0005908,standard,12,46.4,0.0,5,285,30,0,1
CUS0003548,basic,67,1524.0,4.36,619,190,40,0,0
CUS0001896,standard,20,36.02,3.22,790,110,17,0,0
CUS0007113,premium,69,84.59,,36,49,64,1,0
CUS0005875,premium,20,,9.35,985,142,21,0,0
CUS0000860,premium,31,74.87,,560,223,65,1,0
CUS0001797,standard,64,44.59,13.72,10,151,12,3,0
CUS0006898,premium,67,97.54,1.94,199,9,4,2,0
CUS0002063,premium,36,99.24,0.0,231,294,8,0,0
CUS0005811,basic,25,27.33,12.71,299,112,11,4,0
CUS0003326,basic,38,20.41,,462,277,19,1,1
CUS0006341,basic,4,10.97,5.99,78,219,12,0,0
CUS0005564,basic,69,17.32,1.23,72,286,23,2,0
CUS0001554,standard,38,60.93,0.0,738,144,29,0,0
CUS0007340,Premium,24,,7.7,941,184,32,1,1
CUS0000489,standard,62,56.73,3.66,221,184,15,2,0
CUS0004151,basic,42,20.73,6.12,572,119,40,1,0
CUS0002909,premium,10,113.01,9.87,197,33,22,4,0
CUS0005374,premium,37,119.35,13.34,260,123,24,0,0
CUS0003913,basic,18,16.63,5.54,518,99,8,5,0
CUS0003601,standard,69,35.48,6.54,850,95,27,0,0
CUS0006562,standard,11,59.67,0.0,538,14,6,0,1
CUS0004404,standard,47,43.73,7.73,255,180,3,0,0
CUS0006034,basic,48,19.21,5.35,308,266,81,1,0
CUS0002747,standard,66,64.83,13.92,225,7,39,2,1
CUS0003005,standard,33,50.83,7.72,219,173,11,3,0
CUS0004788,standard,7,41.14,9.62,899,124,46,4,1
CUS0007883,standard,61,30.75,11.18,639,82,2,0,0
CUS0000685,premium,10,89.79,0.8,883,107,35,6,0
CUS0006089, premium,71,94.61,0.0,592,216,63,0,0
CUS0000304,basic,41,18.98,13.39,200,23,4,0,0
CUS0003322,PREMIUM,6,99.67,14.57,272,218,9,2,0
CUS0004521,basic,59,25.91,12.32,223,149,60,6,0
CUS0006216,standard,16,56.28,2.97,75,134,4,0,1
CUS0000534,standard,22,,8.81,257,102,59,2,0
CUS0001935,basic,33,,,425,60,0,0,0
CUS0000790,premium,63,72.09,3.09,793,230,13,0,0
CUS0000418,standard,8,36.85,7.89,629,205,17,3,0
CUS0006293,basic,53,23.85,12.26,273,178,2,3,0
CUS0003746,basic,64,23.6,16.96,324,264,6,3,0
CUS0002027,basic,53,11.07,10.48,229,147,25,0,0
CUS0002430,standard,58,39.12,10.69,696,197,53,0,1
CUS0006589,basic,50,19.99,,487,6,5,2,0
CUS0000317,Basic,59,27.13,7.46,758,99,0,1,0
CUS0000078,premium,52,108.54,3.15,653,259,28,2,0
CUS0004470,standard,53,40.39,14.2,379,151,67,4,1
CUS0001307,basic,40,11.38,0.0,404,112,14,2,0
CUS0000224,premium,42,93.88,10.74,373,212,23,0,0
CUS0002640,BASIC,16,24.98,10.91,881,289,23,1,0
CUS0007855,basic,17,15.13,,797,223,11,6,1
CUS0000901,basic,21,24.19,7.7,608,252,4,0,0
CUS0001928,standard,12,,8.99,187,57,21,0,0
CUS0002575,standard,44,53.8,3.6,733,50,37,2,0
CUS0001973,basic,47,26.35,10.1,23,176,3,1,0
CUS0005890,basic,21,20.04,7.63,869,24,0,2,0
CUS0003878,premium,34,101.61,8.41,66,64,49,2,1
CUS0000782,standard,59,35.73,20.33,347,207,33,0,0
CUS0002321,basic,49,20.35,4.36,853,200,31,3,1
CUS0006976,standard,37,41.31,7.19,804,271,12,2,0
CUS0001861,basic,6,29.55,7.04,494,239,1,3,0
CUS0007948,basic,30,14.12,6.74,769,10,11,0,0
CUS0003270,basic,8,10.34,4.95,382,185,20,0,0
CUS0004696,basic,64,15.54,14.2,179,177,2,0,0
CUS0002490,basic,17,25.02,15.67,637,53,1,1,0
CUS0001627,standard,70,49.11,14.3,650,118,3,0,0
CUS0002617,standard,49,45.02,3.26,507,96,7,1,0
CUS0006993,basic,57,15.9,0.0,111,144,3,1,0
CUS0005437,basic,51,12.85,9.81,755,113,43,1,0
CUS0003207,basic,59,26.18,9.87,727,67,36,1,0
CUS0003918,standard,58,65.9,4.72,345,124,25,0,0
CUS0005254,basic,32,29.21,8.03,987,0,21,0,0
CUS0007251,standard,34,62.93,15.69,241,270,33,1,0
CUS0000461,premium,71,103.15,1.92,398,258,0,1,0
CUS0007061,standard,32,46.35,10.84,152,182,69,1,0
CUS0007107,premium,30,68.23,16.23,84,54,14,4,1
CUS0000505,premium,32,82.35,12.6,471,115,20,2,0
CUS0001423,standard,58,48.05,0.0,80,36,5,7,1
CUS0002709,standard,36,61.7,,90,196,40,0,0
CUS0003066,standard,60,50.11,,541,197,5,3,0
CUS0001448,STANDARD,19,66.37,12.44,194,143,2,3,0
CUS0006003, standard,54,64.67,11.94,109,124,8,2,0
CUS0000641,standard,22,43.71,10.73,917,164,5,0,0
CUS0001969,basic,62,11.68,0.0,898,190,14,0,0
CUS0004914,basic,5,21.5,8.35,992,256,13,0,0
CUS0002443,basic,24,29.01,,948,36,42,1,0
CUS0002611,basic,28,26.34,9.97,102,282,36,2,1
CUS0005296,basic,43,12.03,8.1,803,122,10,8,1
CUS0000250,premium,49,92.52,8.38,502,107,26,0,0
CUS0002905,basic,31,24.91,10.14,973,93,10,2,1
CUS0004290,standard,31,50.0,21.83,793,183,37,1,0
CUS0000509,basic,64,15.72,7.72,846,200,3,0,0
CUS0006262,standard,43,61.81,14.29,142,46,7,3,0
CUS0005030,basic,7,24.61,0.0,453,244,35,5,0
CUS0003068,Basic,47,,9.24,956,242,13,0,0
CUS0001900,basic,11,18.8,,932,251,24,0,1
CUS0007001,basic,22,13.4,0.0,403,219,10,0,0
CUS0006280,basic,57,20.27,17.01,780,258,45,3,0
CUS0004973,premium,43,93.84,1.65,823,118,63,0,0
CUS0003387,basic,2,25.97,,871,34,61,0,1
CUS0004149,premium,39,78.37,17.19,602,239,60,4,0
CUS0001714,basic,17,29.37,15.41,344,137,28,0,0
CUS0005761,basic,36,16.49,5.22,163,116,7,0,0
CUS0007863,Basic,62,18.74,16.06,605,181,16,0,0
CUS0006881,basic,70,11.09,11.09,496,276,13,2,1
CUS0007864,basic,63,13.21,8.59,726,82,40,0,0
CUS0000415,standard,47,34.62,7.1,220,200,62,1,0
CUS0003507,standard,41,34.72,9.47,930,62,2,4,0
CUS0004677,standard,53,57.27,12.89,116,72,7,7,0
CUS0005721,basic,5,24.25,17.54,988,269,20,1,0
CUS0000185,premium,44,117.99,15.34,795,54,22,1,0
CUS0007301,premium,65,68.52,10.39,210,134,10,0,0
CUS0002987,basic,15,18.41,9.3,916,219,14,0,0
CUS0004872,premium,34,96.69,8.36,880,287,55,0,0
CUS0000979,premium,59,109.98,5.41,435,216,5,4,0
CUS0002783,premium,70,118.75,18.98,979,156,78,1,0
CUS0005086,basic,48,28.19,11.71,794,116,60,0,0
CUS0000440,standard,12,,8.33,553,154,6,0,0
CUS0001369,basic,23,11.28,16.82,588,1,12,0,0
CUS0000221,standard,5,62.89,9.54,901,282,26,1,0
CUS0005775, basic,26,12.78,3.23,816,172,11,2,0
CUS0000925,premium,23,108.46,1.25,480,18,2,0,0
CUS0001502,standard,18,44.36,,605,62,7,1,0
CUS0002472,basic,21,24.5,1.44,943,247,11,0,0
CUS0002308,standard,60,69.39,0.0,412,1,25,3,0
CUS0007435,standard,47,42.89,,439,65,69,0,0
CUS0002982,standard,33,40.03,5.13,817,279,29,0,0
CUS0005649,basic,23,25.8,7.37,267,212,6,2,0
CUS0005163,premium,19,107.54,6.83,509,186,14,1,0
CUS0001847,standard,70,37.5,10.22,533,267,32,0,0
CUS0000956,standard,30,53.52,1.17,92,196,8,2,0
CUS0004316,basic,25,13.82,12.18,424,228,44,1,0
CUS0007073,basic,34,13.59,4.13,842,17,36,2,0
CUS0000576,basic,30,22.61,4.97,24,282,13,1,0
CUS0003643,standard,31,60.67,6.38,702,98,27,2,1
CUS0004191,basic,64,11.19,13.04,512,287,42,0,0
CUS0003199,standard,42,37.23,6.63,389,14,24,1,0
CUS0004722,standard,61,46.74,9.62,213,44,17,0,1
CUS0003092,basic,16,12.23,4.62,315,300,14,1,0
CUS0005547,basic,27,22.72,6.9,917,30,12,4,0
CUS0006154,basic,30,14.76,11.67,836,288,2,2,1
CUS0004255,basic,4,23.91,4.04,855,39,35,2,0
CUS0007328,standard,16,40.21,17.93,935,222,26,1,0
CUS0002450,basic,51,10.75,11.26,170,258,2,0,0
CUS0004180,basic,16,12.86,5.58,885,120,11,1,0
CUS0000427,standard,32,34.21,,291,195,32,2,0
CUS0005801,premium,11,104.19,13.23,328,136,5,3,1
CUS0000633,premium,19,106.68,0.16,476,285,18,0,0
CUS0000937,basic,2,,0.0,224,254,30,0,0
CUS0004756,premium,3,116.67,7.08,674,152,15,0,1
CUS0003343,basic,31,22.31,6.48,709,267,48,0,1
CUS0000867,basic,2,17.05,,32,207,75,2,0
CUS0002026,standard,59,69.75,16.79,724,81,42,2,0
CUS0001978,Basic,64,16.49,14.68,329,246,25,0,0
CUS0000049,standard,57,67.99,3.55,639,207,20,0,0
CUS0000072,STANDARD,15,51.38,16.62,901,137,49,0,0
CUS0002622,standard,22,62.96,11.43,152,52,24,6,1
CUS0004553,basic,63,11.61,11.39,94,184,56,1,1
CUS0001082,basic,40,12.26,5.62,157,277,1,0,0
CUS0006916,premium,13,114.79,9.85,714,170,34,0,0
CUS0001262,premium,19,82.23,9.69,245,63,36,0,0
CUS0001572,standard,10,40.68,9.79,142,74,30,0,0
CUS0002131,premium,43,78.3,14.61,687,86,20,0,0
CUS0004230,standard,17,61.6,14.21,22,116,9,0,0
CUS0000477,standard,66,53.32,12.35,887,270,28,2,0
CUS0004744,basic,37,18.19,14.16,292,59,43,1,0
CUS0006605,basic,47,13.74,0.0,751,153,4,2,0
CUS0003289,basic,58,27.47,11.84,711,7,58,0,0
CUS0006476,premium,41,113.22,7.34,553,54,20,7,1
CUS0007756,premium,23,112.45,8.57,388,27,36,3,0
CUS0002209,basic,5,13.74,17.66,410,217,44,1,0
CUS0003914,premium,34,87.8,7.67,424,170,4,0,0
CUS0001402,standard,40,63.64,7.43,932,103,3,1,0
CUS0000343,basic,59,29.44,8.94,424,258,32,0,1
CUS0004831,premium,71,99.85,8.18,491,230,45,1,0
CUS0005134,premium,38,104.37,7.9,1,276,28,4,0
CUS0004238,basic,14,28.34,7.35,559,97,45,2,1
CUS0003000,basic,46,24.39,,656,292,11,0,0
CUS0001317,standard,3,56.22,6.41,850,151,63,1,1
CUS0002568,standard,10,56.71,12.67,668,76,20,0,0
CUS0004100,Premium,51,70.42,,890,99,61,2,0
CUS0005630,basic,54,27.68,8.24,686,67,29,0,0
CUS0004853,standard,45,35.07,14.28,445,36,35,0,0
CUS0000749,standard,34,42.16,10.65,38,81,29,0,0
CUS0000765,basic,49,10.97,20.46,496,80,44,0,0
CUS0007977,basic,70,20.54,0.0,654,147,24,0,0
CUS0006383,premium,20,99.06,10.94,884,253,12,0,0
CUS0000429,basic,33,17.36,19.47,262,67,41,3,0
CUS0005477,basic,13,23.74,1.99,389,208,26,1,1
CUS0007647,standard,63,32.35,3.53,405,171,56,1,1
CUS0006519,basic,26,11.83,5.86,507,46,9,0,0
CUS0007335,basic,17,10.25,3.49,48,221,53,2,0
CUS0001606,basic,66,21.01,10.67,653,288,12,3,0
CUS0005191,basic,51,17.96,7.55,455,168,44,2,0
CUS0003076,standard,17,58.52,1.65,886,238,0,0,0
CUS0001480,standard,65,54.84,24.31,691,193,46,1,0
CUS0002332,premium,10,114.42,13.08,906,241,55,0,0
CUS0005723,standard,19,61.68,9.45,908,133,23,0,0
CUS0000235,premium,2,71.53,12.06,713,47,22,0,0
CUS0005023,standard,43,60.54,11.22,792,231,25,1,0
CUS0002204,standard,24,49.49,9.01,475,189,33,0,0
CUS0006023,standard,49,53.51,7.02,39,85,1,3,0
CUS0005729,premium,26,69.59,7.72,120,111,32,1,0
CUS0001567,basic,68,20.99,6.39,213,27,56,2,0
CUS0000339,basic,48,22.97,0.0,389,203,26,0,0
CUS0002503,standard,22,54.69,8.99,348,67,3,2,0
CUS0007916,premium,12,86.05,11.57,151,56,10,4,0
CUS0004193,standard,64,47.35,5.64,514,54,86,0,0
CUS0007663,basic,34,21.24,13.35,723,147,68,3,1
CUS0005196,premium,54,92.72,0.0,31,61,13,3,0
CUS0002096,premium,30,115.58,11.45,27,157,6,2,0
CUS0002001,premium,31,95.84,5.11,141,25,1,0,0
CUS0001764,basic,67,11.29,7.85,49,85,11,0,0
CUS0002299,standard,35,67.19,11.96,601,194,33,8,0
CUS0004929,standard,61,51.74,,919,34,20,0,0
CUS0001804,premium,64,74.13,7.38,618,212,10,2,0
CUS0001995,basic,2,10.04,7.3,976,250,22,2,1
CUS0007455,standard,2,62.62,0.0,693,63,5,0,0
CUS0007887,basic,42,11.91,16.63,468,127,39,1,0
CUS0007584,basic,50,27.09,6.84,278,287,48,1,0
CUS0006732,premium,41,62.14,4.09,962,100,18,0,0
CUS0004516,premium,37,119.59,11.19,567,95,37,0,0
CUS0003520,basic,32,19.47,5.06,943,187,12,0,0
CUS0005265,basic,56,10.07,17.13,974,42,28,0,0
CUS0005973,basic,44,12.32,,771,77,5,2,0
CUS0002562,premium,20,73.81,4.28,205,212,8,1,1
CUS0000756,standard,19,49.52,10.38,690,252,25,2,0
CUS0001332,basic,67,19.28,3.63,860,6,10,1,0
CUS0007324,basic,27,20.18,3.26,318,237,42,0,0
CUS0001097,premium,40,92.38,10.1,830,37,30,0,0
CUS0007084,basic,31,,8.41,391,253,29,0,0
CUS0004561,premium,11,108.14,2.05,219,121,12,3,0
CUS0004601,BASIC,28,20.64,8.5,882,37,64,3,0
CUS0000010,standard,61,50.15,17.7,281,18,25,0,0
CUS0003493,premium,43,119.63,10.66,55,182,16,1,0
CUS0005874,standard,36,66.97,,968,104,39,4,0
CUS0007850,standard,26,47.77,0.0,540,74,33,0,0
CUS0000917,basic,16,,8.55,39,18,37,0,0
CUS0003821,basic,56,22.69,7.68,102,102,32,0,0
CUS0003363,standard,40,41.88,1.77,181,15,71,4,1
CUS0001465,standard,13,67.42,7.85,636,84,22,1,0
CUS0000515,basic,57,10.68,0.0,995,240,49,1,0
CUS0007755,standard,33,56.14,6.13,476,44,22,0,0
CUS0001147,basic,70,15.32,14.66,987,37,35,0,1
CUS0002055,standard,58,33.34,3.34,790,153,11,1,0
CUS0007926,standard,44,53.15,20.18,340,219,38,1,0
CUS0007326,premium,28,77.02,11.02,113,285,27,0,0
CUS0003986,basic,19,11.26,9.24,937,50,42,0,0
CUS0001470,premium,35,101.73,4.16,983,228,43,1,0
CUS0006582,standard,53,51.68,5.42,262,194,4,2,0
CUS0005538,basic,70,26.92,18.57,908,275,1,2,1
CUS0007559,basic,40,27.81,0.0,456,54,45,4,1
CUS0002014,basic,7,24.27,1.37,127,18,2,0,0
CUS0006225,basic,45,29.27,12.45,944,39,7,0,0
CUS0001404,basic,54,26.57,7.12,6,100,55,0,0
CUS0006789,standard,29,58.05,4.56,982,2,17,1,0
CUS0004989,basic,56,2758.0,13.55,299,257,30,0,0
CUS0003144,basic,54,16.97,8.93,433,22,23,6,0
CUS0007639,standard,28,34.43,5.63,439,64,1,0,0
CUS0004239,Basic,41,18.76,15.77,161,57,7,1,0
CUS0000059,standard,64,60.51,22.04,492,186,13,0,0
CUS0000946, premium,12,103.43,8.6,577,219,26,1,0
CUS0000392,standard,44,63.57,0.0,330,83,1,6,1
CUS0005517, premium,72,79.94,9.18,606,235,6,0,0
CUS0006017,basic,41,20.3,8.86,364,235,10,8,1
CUS0002657,premium,8,93.87,6.02,605,290,12,0,1
CUS0002113,premium,36,96.18,6.68,154,64,40,0,0
CUS0003568,basic,63,16.49,12.58,904,63,4,0,0
CUS0001311,basic,34,23.62,0.0,314,275,11,2,0
CUS0000527, standard,5,65.91,9.24,989,83,63,4,1
CUS0003408,premium,26,79.06,2.15,47,178,33,1,0
CUS0006068, basic,15,,2.85,44,9,34,1,0
CUS0007815, basic,54,17.1,10.95,567,271,21,0,0
CUS0003846,Standard,8,48.01,9.2,378,223,28,1,0
CUS0001409,standard,36,61.15,16.93,862,128,35,4,0
CUS0006941,basic,14,10.55,10.31,39,153,23,2,0
CUS0006924,basic,24,,12.54,138,154,22,0,0
CUS0000887,basic,46,23.98,7.33,733,146,10,0,0
CUS0004484,standard,65,50.56,19.46,968,171,43,1,0
CUS0002034, standard,12,64.18,11.48,136,100,42,3,1
CUS0003557,basic,15,,13.43,818,141,8,0,0
CUS0006763,standard,68,55.97,2.54,751,83,35,0,0
CUS0001282,premium,29,78.49,0.0,789,269,16,0,0
CUS0006398,basic,4,22.87,10.02,705,261,52,4,0
CUS0005473,basic,25,16.71,12.05,268,14,79,2,0
CUS0007895,basic,22,18.04,21.13,465,204,8,0,0
CUS0004686,basic,68,17.63,1.45,728,49,36,1,0
CUS0004015, premium,20,99.27,14.05,169,229,30,6,1
CUS0006229,standard,56,,11.42,768,196,32,4,0
CUS0000496,premium,67,85.9,4.54,9,50,30,1,0
CUS0005597,standard,64,57.44,13.48,660,175,6,0,0
CUS0004024,basic,10,13.62,4.9,885,229,12,0,1
CUS0000638,BASIC,55,14.57,,689,104,9,0,0
CUS0000126,basic,62,16.44,16.05,316,164,29,0,0
CUS0005173,basic,37,13.57,2.33,149,24,2,0,0
CUS0006931,standard,55,52.03,8.17,847,56,0,3,0
CUS0003218,STANDARD,35,45.87,6.75,976,28,2,1,0
CUS0001865,standard,2,32.85,1.36,75,110,39,4,1
CUS0005338,standard,26,58.14,1.31,969,171,33,1,0
CUS0006128,basic,54,22.72,0.0,939,43,12,0,0
CUS0005825,premium,57,113.11,,533,56,16,0,0
CUS0002315,basic,43,25.39,7.65,351,207,44,1,1
CUS0005281,standard,26,46.85,12.51,141,60,17,5,1
CUS0000307,premium,11,119.46,0.98,104,236,6,0,0
CUS0003462,basic,55,17.45,8.72,298,283,23,0,0
